category	Pdp11	SdM1	SdM2	SH12	SH16	SH4	SH6	SH9
A	1	1	1	1	1	1	1	1
B	1	1	-	1	1	1	1	1
C	198	200	187	200	200	200	200	200
D	31	31	30	29	29	29	29	29
E	237	239	222	222	238	222	238	238
F	71	73	73	69	74	69	74	74
G	111	103	96	107	110	107	110	110
H	149	149	140	147	148	147	148	148
I	114	120	112	116	118	116	118	118
J	237	239	230	231	238	230	237	237
K	224	226	187	211	223	211	223	222
L	127	115	114	111	119	111	119	119
M	177	180	168	174	183	174	183	183
N	112	129	120	111	125	111	125	125
O	150	155	148	151	151	151	151	151
P	147	152	133	133	143	133	143	143
Q	47	62	49	54	55	54	55	55
R	182	182	160	172	183	172	181	181
S	85	88	77	82	85	82	85	85
T	270	272	228	271	266	273	266	266
U	52	59	55	54	63	54	63	63
V	98	87	84	85	93	85	93	92
W	17	20	21	18	20	18	20	20
X	42	19	13	6	31	7	32	32
