Seq_id	Size	Description
1	195472	R_scaffold_5
2	162705	R_scaffold_7
3	132045	R_scaffold_11
4	511212	R_scaffold_2
5	1319581	R_scaffold_0
6	261707	R_scaffold_4
7	135355	R_scaffold_9
8	48778	R_scaffold_14
9	165325	R_scaffold_6
10	301682	R_scaffold_3
11	638552	R_scaffold_1
12	63598	R_scaffold_13
13	157439	R_scaffold_8
14	24242	R_scaffold_15
15	16203	R_scaffold_16
16	132384	R_scaffold_10
17	75346	R_scaffold_12
18	2923	R_scaffold_17
19	1468	R_scaffold_18
20	1421	R_scaffold_19
21	1357	R_scaffold_20
22	1163	R_scaffold_21
23	991	R_scaffold_22
24	888	R_scaffold_23
25	869	R_scaffold_24
26	847	R_scaffold_25
27	653	R_scaffold_26
28	598	R_scaffold_27
29	231584	R_scaffold_7
30	23154	R_scaffold_22
31	96198	R_scaffold_13
32	53819	R_scaffold_17
33	193256	R_scaffold_8
34	347522	R_scaffold_4
35	44348	R_scaffold_19
36	670500	R_scaffold_2
37	250463	R_scaffold_6
38	394596	R_scaffold_3
39	11764	R_scaffold_27
40	17897	R_scaffold_25
41	716395	R_scaffold_1
42	92221	R_scaffold_14
43	2301	R_scaffold_32
44	19629	R_scaffold_23
45	259625	R_scaffold_5
46	158830	R_scaffold_10
47	26289	R_scaffold_20
48	745709	R_scaffold_0
49	2141	R_scaffold_33
50	50505	R_scaffold_18
51	71100	R_scaffold_16
52	113466	R_scaffold_12
53	159738	R_scaffold_9
54	24902	R_scaffold_21
55	17058	R_scaffold_26
56	4979	R_scaffold_29
57	149463	R_scaffold_11
58	75224	R_scaffold_15
59	19514	R_scaffold_24
60	6919	R_scaffold_28
61	3927	R_scaffold_30
62	2560	R_scaffold_31
63	1955	R_scaffold_34
64	1774	R_scaffold_35
65	1341	R_scaffold_36
66	1265	R_scaffold_37
67	884	R_scaffold_38
68	754	R_scaffold_39
69	667	R_scaffold_40
70	655	R_scaffold_41
71	643	R_scaffold_42
72	629	R_scaffold_43
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72
2	67	46.40%	23.42%	76.00%	63.93%	36.15%	53.48%	66.37%	65.56%	22.33%	4.33%	59.76%	47.14%	38.17%	58.21%	58.53%	99.40%	8.15%	95.75%	99.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.62%	0.00%	20.28%	41.59%	84.42%	35.60%	0.00%	43.19%	59.30%	75.20%	26.19%	15.65%	27.97%	6.06%	0.00%	53.12%	80.48%	58.34%	21.14%	42.44%	0.00%	4.60%	5.35%	71.16%	46.44%	57.00%	94.36%	0.00%	12.26%	95.16%	0.00%	99.93%	74.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
All	67	46.40%	23.42%	76.00%	63.93%	36.15%	53.48%	66.37%	65.56%	22.33%	4.33%	59.76%	47.14%	38.17%	58.21%	58.53%	99.40%	8.15%	95.75%	99.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.62%	0.00%	20.28%	41.59%	84.42%	35.60%	0.00%	43.19%	59.30%	75.20%	26.19%	15.65%	27.97%	6.06%	0.00%	53.12%	80.48%	58.34%	21.14%	42.44%	0.00%	4.60%	5.35%	71.16%	46.44%	57.00%	94.36%	0.00%	12.26%	95.16%	0.00%	99.93%	74.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
--------------------------------------------------------------------------------
