Seq_id	Size	Description
1	160200	R_scaffold_8
2	69995	R_scaffold_24
3	186205	R_scaffold_4
4	70222	R_scaffold_23
5	179395	R_scaffold_6
6	60003	R_scaffold_25
7	39072	R_scaffold_32
8	25035	R_scaffold_33
9	160078	R_scaffold_9
10	79616	R_scaffold_20
11	12488	R_scaffold_34
12	153412	R_scaffold_10
13	290533	R_scaffold_1
14	41341	R_scaffold_31
15	49373	R_scaffold_28
16	5272	R_scaffold_35
17	152194	R_scaffold_11
18	47932	R_scaffold_29
19	76617	R_scaffold_22
20	128313	R_scaffold_14
21	107768	R_scaffold_18
22	98250	R_scaffold_19
23	286234	R_scaffold_2
24	123487	R_scaffold_15
25	58343	R_scaffold_26
26	118204	R_scaffold_16
27	111002	R_scaffold_17
28	144702	R_scaffold_13
29	2114	R_scaffold_41
30	217798	R_scaffold_3
31	147906	R_scaffold_12
32	2647	R_scaffold_39
33	57055	R_scaffold_27
34	661077	R_scaffold_0
35	168044	R_scaffold_7
36	46771	R_scaffold_30
37	185742	R_scaffold_5
38	79332	R_scaffold_21
39	2514	R_scaffold_40
40	3100	R_scaffold_36
41	3091	R_scaffold_37
42	2999	R_scaffold_38
43	1536	R_scaffold_42
44	1213	R_scaffold_43
45	963	R_scaffold_44
46	854	R_scaffold_45
47	838	R_scaffold_46
48	831	R_scaffold_47
49	828	R_scaffold_48
50	815	R_scaffold_49
51	989	R_scaffold_50
52	699	R_scaffold_51
53	690	R_scaffold_52
54	678	R_scaffold_53
55	663	R_scaffold_54
56	653	R_scaffold_55
57	649	R_scaffold_56
58	598	R_scaffold_57
59	4999751	NZ_LR134321.1
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59
2	9	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	3.06%	0.00%	0.00%	0.00%	2.16%	40.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	66.60%	0.00%	7.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.46%	
11	1	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	94.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	
All	10	2.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	3.06%	0.00%	0.00%	0.00%	2.16%	40.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	66.60%	0.00%	7.59%	0.00%	0.00%	94.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.03%	
--------------------------------------------------------------------------------
