Seq_id	Size	Description
1	21976	R_scaffold_28
2	16328	R_scaffold_30
3	126533	R_scaffold_13
4	208025	R_scaffold_8
5	189456	R_scaffold_10
6	387275	R_scaffold_3
7	167100	R_scaffold_11
8	192232	R_scaffold_9
9	105286	R_scaffold_17
10	393722	R_scaffold_2
11	2414	R_scaffold_37
12	233118	R_scaffold_7
13	158302	R_scaffold_12
14	431926	R_scaffold_1
15	245702	R_scaffold_6
16	259819	R_scaffold_4
17	30432	R_scaffold_24
18	57691	R_scaffold_21
19	125955	R_scaffold_14
20	43621	R_scaffold_23
21	79612	R_scaffold_20
22	57112	R_scaffold_22
23	692840	R_scaffold_0
24	27032	R_scaffold_26
25	246340	R_scaffold_5
26	7254	R_scaffold_31
27	111933	R_scaffold_16
28	27855	R_scaffold_25
29	4449	R_scaffold_33
30	114674	R_scaffold_15
31	25703	R_scaffold_27
32	17006	R_scaffold_29
33	4742	R_scaffold_32
34	94773	R_scaffold_18
35	93391	R_scaffold_19
36	3538	R_scaffold_34
37	3090	R_scaffold_35
38	2639	R_scaffold_36
39	1887	R_scaffold_38
40	1297	R_scaffold_39
41	1267	R_scaffold_40
42	1242	R_scaffold_41
43	815	R_scaffold_42
44	728	R_scaffold_43
45	708	R_scaffold_44
46	646	R_scaffold_45
47	611	R_scaffold_46
48	21976	R_scaffold_28
49	16328	R_scaffold_30
50	126533	R_scaffold_13
51	208025	R_scaffold_8
52	189456	R_scaffold_10
53	387275	R_scaffold_3
54	167100	R_scaffold_11
55	192232	R_scaffold_9
56	105286	R_scaffold_17
57	393722	R_scaffold_2
58	2414	R_scaffold_37
59	233118	R_scaffold_7
60	158302	R_scaffold_12
61	431926	R_scaffold_1
62	245702	R_scaffold_6
63	259819	R_scaffold_4
64	30432	R_scaffold_24
65	57691	R_scaffold_21
66	125955	R_scaffold_14
67	43621	R_scaffold_23
68	79612	R_scaffold_20
69	57112	R_scaffold_22
70	692840	R_scaffold_0
71	27032	R_scaffold_26
72	246340	R_scaffold_5
73	7254	R_scaffold_31
74	111933	R_scaffold_16
75	27855	R_scaffold_25
76	4449	R_scaffold_33
77	114674	R_scaffold_15
78	25703	R_scaffold_27
79	17006	R_scaffold_29
80	4742	R_scaffold_32
81	94773	R_scaffold_18
82	93391	R_scaffold_19
83	3538	R_scaffold_34
84	3090	R_scaffold_35
85	2639	R_scaffold_36
86	1887	R_scaffold_38
87	1297	R_scaffold_39
88	1267	R_scaffold_40
89	1242	R_scaffold_41
90	815	R_scaffold_42
91	728	R_scaffold_43
92	708	R_scaffold_44
93	646	R_scaffold_45
94	611	R_scaffold_46
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81	Seq 82	Seq 83	Seq 84	Seq 85	Seq 86	Seq 87	Seq 88	Seq 89	Seq 90	Seq 91	Seq 92	Seq 93	Seq 94
2	40	99.33%	100.00%	100.00%	99.83%	100.00%	99.89%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	96.22%	97.70%	99.94%	100.00%	99.84%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	79.34%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	97.32%	96.22%	100.00%	100.00%	100.00%	89.82%	0.00%	80.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	100.00%	99.83%	100.00%	99.89%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	96.22%	97.70%	99.94%	100.00%	99.84%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	79.34%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	97.32%	96.22%	100.00%	100.00%	100.00%	89.82%	0.00%	80.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
4	2	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.75%	1.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.75%	1.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
