Seq_id	Size	Description
1	195472	R_scaffold_5
2	162705	R_scaffold_7
3	132045	R_scaffold_11
4	511212	R_scaffold_2
5	1319581	R_scaffold_0
6	261707	R_scaffold_4
7	135355	R_scaffold_9
8	48778	R_scaffold_14
9	165325	R_scaffold_6
10	301682	R_scaffold_3
11	638552	R_scaffold_1
12	63598	R_scaffold_13
13	157439	R_scaffold_8
14	24242	R_scaffold_15
15	16203	R_scaffold_16
16	132384	R_scaffold_10
17	75346	R_scaffold_12
18	2923	R_scaffold_17
19	1468	R_scaffold_18
20	1421	R_scaffold_19
21	1357	R_scaffold_20
22	1163	R_scaffold_21
23	991	R_scaffold_22
24	888	R_scaffold_23
25	869	R_scaffold_24
26	847	R_scaffold_25
27	653	R_scaffold_26
28	598	R_scaffold_27
29	21976	R_scaffold_28
30	16328	R_scaffold_30
31	126533	R_scaffold_13
32	208025	R_scaffold_8
33	189456	R_scaffold_10
34	387275	R_scaffold_3
35	167100	R_scaffold_11
36	192232	R_scaffold_9
37	105286	R_scaffold_17
38	393722	R_scaffold_2
39	2414	R_scaffold_37
40	233118	R_scaffold_7
41	158302	R_scaffold_12
42	431926	R_scaffold_1
43	245702	R_scaffold_6
44	259819	R_scaffold_4
45	30432	R_scaffold_24
46	57691	R_scaffold_21
47	125955	R_scaffold_14
48	43621	R_scaffold_23
49	79612	R_scaffold_20
50	57112	R_scaffold_22
51	692840	R_scaffold_0
52	27032	R_scaffold_26
53	246340	R_scaffold_5
54	7254	R_scaffold_31
55	111933	R_scaffold_16
56	27855	R_scaffold_25
57	4449	R_scaffold_33
58	114674	R_scaffold_15
59	25703	R_scaffold_27
60	17006	R_scaffold_29
61	4742	R_scaffold_32
62	94773	R_scaffold_18
63	93391	R_scaffold_19
64	3538	R_scaffold_34
65	3090	R_scaffold_35
66	2639	R_scaffold_36
67	1887	R_scaffold_38
68	1297	R_scaffold_39
69	1267	R_scaffold_40
70	1242	R_scaffold_41
71	815	R_scaffold_42
72	728	R_scaffold_43
73	708	R_scaffold_44
74	646	R_scaffold_45
75	611	R_scaffold_46
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75
2	75	42.59%	17.62%	75.75%	65.95%	46.61%	41.20%	33.93%	65.56%	45.56%	4.25%	42.22%	56.33%	38.21%	57.75%	58.49%	99.48%	8.12%	79.61%	99.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	24.21%	16.07%	83.93%	31.50%	68.97%	60.33%	58.96%	66.23%	0.00%	51.85%	9.49%	21.86%	18.70%	37.45%	0.00%	47.24%	57.43%	47.91%	10.74%	0.00%	42.28%	19.85%	43.30%	0.00%	70.77%	0.00%	0.00%	57.25%	55.18%	94.72%	0.00%	8.82%	64.09%	82.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
All	75	42.59%	17.62%	75.75%	65.95%	46.61%	41.20%	33.93%	65.56%	45.56%	4.25%	42.22%	56.33%	38.21%	57.75%	58.49%	99.48%	8.12%	79.61%	99.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	24.21%	16.07%	83.93%	31.50%	68.97%	60.33%	58.96%	66.23%	0.00%	51.85%	9.49%	21.86%	18.70%	37.45%	0.00%	47.24%	57.43%	47.91%	10.74%	0.00%	42.28%	19.85%	43.30%	0.00%	70.77%	0.00%	0.00%	57.25%	55.18%	94.72%	0.00%	8.82%	64.09%	82.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
--------------------------------------------------------------------------------
