Seq_id	Size	Description
1	21976	R_scaffold_23
2	142871	R_scaffold_13
3	208345	R_scaffold_9
4	189563	R_scaffold_10
5	387574	R_scaffold_3
6	359360	R_scaffold_4
7	105278	R_scaffold_18
8	393722	R_scaffold_2
9	235601	R_scaffold_8
10	185230	R_scaffold_11
11	431926	R_scaffold_1
12	245702	R_scaffold_7
13	259802	R_scaffold_5
14	114363	R_scaffold_16
15	154950	R_scaffold_12
16	125837	R_scaffold_14
17	692833	R_scaffold_0
18	246340	R_scaffold_6
19	7254	R_scaffold_25
20	111928	R_scaffold_17
21	27889	R_scaffold_21
22	4452	R_scaffold_27
23	114674	R_scaffold_15
24	25703	R_scaffold_22
25	17006	R_scaffold_24
26	4742	R_scaffold_26
27	94785	R_scaffold_19
28	93657	R_scaffold_20
29	3090	R_scaffold_28
30	3033	R_scaffold_29
31	2639	R_scaffold_30
32	1243	R_scaffold_31
33	1242	R_scaffold_32
34	1092	R_scaffold_33
35	892	R_scaffold_34
36	809	R_scaffold_35
37	790	R_scaffold_36
38	767	R_scaffold_37
39	741	R_scaffold_38
40	706	R_scaffold_39
41	664	R_scaffold_40
42	621	R_scaffold_41
43	612	R_scaffold_42
44	608	R_scaffold_43
45	195472	R_scaffold_5
46	162705	R_scaffold_7
47	132045	R_scaffold_11
48	511212	R_scaffold_2
49	1319581	R_scaffold_0
50	261707	R_scaffold_4
51	135355	R_scaffold_9
52	48778	R_scaffold_14
53	165325	R_scaffold_6
54	301682	R_scaffold_3
55	638552	R_scaffold_1
56	63598	R_scaffold_13
57	157439	R_scaffold_8
58	24242	R_scaffold_15
59	16203	R_scaffold_16
60	132384	R_scaffold_10
61	75346	R_scaffold_12
62	2923	R_scaffold_17
63	1468	R_scaffold_18
64	1421	R_scaffold_19
65	1357	R_scaffold_20
66	1163	R_scaffold_21
67	991	R_scaffold_22
68	888	R_scaffold_23
69	869	R_scaffold_24
70	847	R_scaffold_25
71	653	R_scaffold_26
72	598	R_scaffold_27
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72
2	73	42.64%	0.00%	22.31%	16.05%	83.89%	31.48%	51.97%	58.96%	66.23%	53.47%	14.70%	25.41%	18.70%	37.45%	23.83%	7.68%	91.19%	42.28%	43.30%	0.00%	70.77%	0.00%	0.00%	57.25%	55.18%	94.72%	0.00%	8.81%	63.96%	0.00%	96.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	17.62%	75.75%	65.95%	46.61%	42.21%	33.93%	65.56%	95.01%	4.37%	42.22%	49.79%	40.12%	57.75%	58.49%	99.48%	8.12%	79.68%	99.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
All	73	42.64%	0.00%	22.31%	16.05%	83.89%	31.48%	51.97%	58.96%	66.23%	53.47%	14.70%	25.41%	18.70%	37.45%	23.83%	7.68%	91.19%	42.28%	43.30%	0.00%	70.77%	0.00%	0.00%	57.25%	55.18%	94.72%	0.00%	8.81%	63.96%	0.00%	96.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	17.62%	75.75%	65.95%	46.61%	42.21%	33.93%	65.56%	95.01%	4.37%	42.22%	49.79%	40.12%	57.75%	58.49%	99.48%	8.12%	79.68%	99.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
--------------------------------------------------------------------------------
